,CSC11,CSC13,CSC5,CSC7,Noncertified1,Noncertified10,Noncertified15,Noncertified2,Noncertified4,Noncertified6,Noncertified8,PSC12,PSC14,PSC3,TCSC9
D-5,83.02955163144549,92.73522131345032,79.28208398522236,104.3731496072245,20.30312428977454,28.32501236509015,56.36735230623517,62.85840917157394,37.45576734557336,39.74958226251064,75.96941476057017,54.62121999890321,51.01764061862683,39.18319743032993,59.07745411684528
D-6,87.56861382906254,97.2742753841774,83.82114618283943,105.5754740073994,24.84217836050161,27.4780995521994,57.10675132575237,62.01149635868319,41.99482141630044,44.28863633323771,77.17173916074506,55.82357081147064,55.5566946893539,36.13732430164847,63.61649735171814
D-7,89.06603936209147,98.77170091720632,85.31857171586836,106.2352568678646,27.64823611047788,25.57000449267958,57.76647315106126,52.40276053974424,44.56396525864227,45.78606186626664,77.83152202121019,56.48335367193577,57.77015762027816,34.88516963124931,65.11394184749126
D-8,93.92461552649857,103.6302770816134,90.17714788027544,110.4276763266492,32.50687331004126,29.56638256630324,62.62504931546837,51.24515227863346,49.42260245820565,50.64463803067376,82.02394147999483,60.6757731307204,62.62879481984153,39.16131482391215,69.97251801189836
D-9,95.12537268026573,104.8310342353806,91.37790503404261,106.0743671709674,34.05061566399414,26.98876398557532,63.82580646923553,45.98547610568912,51.20325871979296,51.84539518444092,77.67063232431303,56.32243959436856,64.42947993235343,35.87153106879651,71.17327516566552
E-1,69.569524106008,79.27518222282276,65.82206458667487,100.4818098043214,14.10157734213124,32.91734696818295,49.98131130608554,67.45074377466675,31.25422039793006,26.28956286396317,72.0780749576671,50.72990660839267,38.87363135809573,41.48458035524347,45.61742659140781
E-10,102.0103623452621,111.7160239003769,98.26289469903892,106.8629508000759,40.93560532899046,27.77734761468378,70.60996605610686,44.02291662721014,58.08824838478928,58.73038484943725,77.32845498152858,57.11102322347702,71.31446959734976,43.0928323380797,78.05826483066184
E-11,104.2372944295817,113.9429559846966,100.4898267833586,98.88965197591968,41.51085896102081,19.80404879052767,71.18519382985113,35.80053577889587,58.66350201681963,59.30561262318153,69.1063561993277,49.13774877999094,72.22537528987311,35.09967880404933,80.28517795223733
E-12,107.7550368795629,110.2502873557734,104.0075692333398,98.73580450035857,45.02860141100203,19.65020131496657,68.21615134563356,30.47643249123991,62.18124446680085,62.82335507316276,64.45904730405884,48.98390130442983,75.74311773985433,38.59726770164302,83.80292040221855
E-13,110.6255470262422,113.1207975024527,106.8780793800191,101.6063146470379,47.8991115576813,22.52071146164582,71.08666149231283,26.88452364410917,65.05175461348013,65.69386521984202,63.60173223462529,51.85441145110909,78.6136278865336,41.3192812249229,86.67343054889783
E-14,114.2760382313139,116.7712887075243,110.5285705850907,90.90259211931476,51.54960276275296,26.17120266671749,74.73715269738449,24.94686071731913,68.70224581855179,69.3443564249137,60.93870994436126,55.50490265618077,82.26411909160527,40.6979700700134,90.32392175396949
E-2,74.53153724302169,84.23719535983645,70.78407772368855,101.1671197039588,14.7191677826438,33.54215657608415,54.94332444309923,68.07555338256796,31.87205497906762,31.25157600097684,72.76338485730443,51.41519009563746,43.83564449510939,42.79715244985029,50.57943972842148
E-3,76.67680680649057,86.38246711131424,72.92934728715746,98.04040507719628,13.95038759170964,26.8778757646886,52.82002928049489,61.4112725711724,31.10303064750846,33.39684556444573,69.63667023054198,48.28847750059752,44.66520909634318,42.02806708313488,52.72470929189037
E-4,80.54583711205947,90.25149741688315,76.79837759272634,101.9013982387554,17.81941789727852,26.18775345302145,53.43270344711697,60.72115025950524,34.97206095307735,37.26587587001462,73.49766339210109,52.14947066215662,48.53423940191206,44.4661299222073,56.59373959745927
E-5,81.18786618510083,90.89353586710565,77.4403985388777,99.02398926594903,18.46143884342987,22.97585202381467,51.08833881938564,57.50924883029847,35.61408189922869,37.90789681616597,70.62025441929471,49.27205965762775,49.17595517228217,36.23932075700329,57.23576867050063
E-6,86.18035327584568,95.88601483096052,82.43288562962256,103.4454598852492,23.45391780728474,22.58416612490329,55.61772895901261,53.33003587104503,40.60656086308357,42.90037578002084,75.04172503859488,53.69355668932044,54.16843413613704,38.81022567402291,62.22825576124547
E-7,90.10964038905624,99.81530194417107,86.36217274283311,101.4726355585705,29.03488337278462,20.61134179822461,58.70924409990101,48.89550484037489,46.18752642858344,46.82966289323139,73.06890071191619,51.72073236264175,59.41374764114394,38.38134974965168,66.15754287445603
E-8,93.0185590099573,102.7242286919622,89.27109136373419,106.039159588943,31.94381012057572,25.17786582859706,61.61817084769211,46.04202732342902,49.09645317637454,49.7385896410225,77.63542474228863,56.2872563930142,62.322666262045,48.16065056082344,69.06646149535709
E-9,96.72629663410304,106.4319581892179,92.97882898787992,107.1044194678314,35.65153961783145,28.01881628243937,65.32590034494783,44.26438529496574,52.80418267363027,53.44631913827821,77.57016778990916,57.35251627190265,66.03040388619074,46.38299589053068,72.77419911950282
