,CSC12,CSC14,CSC6,CSC8,Noncertified1,Noncertified11,Noncertified2,Noncertified5,Noncertified7,Noncertified9,PSC13,PSC15,PSC4,TCSC10
I-19,42.99812750673203,89.81601034386131,75.77788711175843,42.81641935615239,65.95958141190462,121.8279294835699,18.9166939851494,118.0804618373468,65.17297588820422,97.87581300622554,119.9683038210836,77.93416781094379,83.11222446770343,32.6593647047151
I-2,43.48295206631867,48.99292989337765,27.72367406156849,64.83112041559309,27.67261914232078,81.0048368427513,68.12880009987073,77.25736919652817,93.2348552622474,57.0527325557419,81.46614387983655,44.48623199914393,44.8252621981196,27.26356812196214
I-3,49.09209620395769,40.62337139142427,28.76667115997582,70.44028893390217,25.5464523570921,72.6352641187404,74.51265409261596,68.88780459940727,98.84402378055647,48.68316660414019,82.39504161583032,53.10117069909309,41.35947876482509,33.64752452312135
I-4,37.66474128041884,45.39771382353008,30.10259751705123,59.01290962969325,26.46579237629755,77.40961264601371,62.35639103718962,73.6621531266806,87.41664447634757,53.45751513141352,83.7776456984841,41.74352106599041,43.61843543209638,20.895775807181
I-5,39.27468501161204,49.35585699500344,34.58848257878557,60.62285336088647,27.8744882598843,81.36776394437709,58.84076077872426,77.62029629815396,89.02658820754077,57.41565965736768,88.26356955724894,46.22943354710909,45.02713131568312,18.87328434356982
I-6,39.29348069171975,53.14096758731483,39.1028268511408,57.23958770858007,31.13888459737022,85.15288266357848,56.88054955131204,81.40541501735535,89.04537576075846,61.20077024967907,92.5490157048707,49.71696686669394,48.29152765316904,16.8632207184289
I-7,44.67012180319789,58.51765007205071,44.47950933587664,62.61622882005822,37.47575886097449,90.52955702142434,54.97932501576831,86.78208937520122,94.42201687223663,66.57745273441496,97.92569818960656,55.09360797817209,54.62840191677331,14.74125037497299
I-8,39.88676458377248,60.02031077940141,47.43622603148886,61.23493293304691,29.64144651104209,90.71620352731371,48.948415266579,86.9687358810906,89.6386677797012,66.7641060127135,99.04080266397597,57.00666665383611,46.79408956684091,8.981094517508971
I-9,41.78302157204682,64.86572069845465,50.82757996228059,59.72912046201713,35.6473690758866,96.72212609215819,50.84467225485335,92.97465844593506,91.53490851419552,72.77002857755798,100.9370596522503,58.90292364211044,52.80001213168542,10.87735150578332
J-10,35.16766126501698,61.61469756380873,47.57655682763466,53.1137601549873,35.9556809780244,93.62661264007235,44.7735014009485,89.87914499384924,84.91954820716572,69.67450022617297,94.32169934522048,52.28756333508063,53.10832403382322,4.261991198753483
J-11,34.26623492572134,62.73050134279305,48.69236060661898,52.21233381569166,38.87380241192531,94.74241641905667,43.01271898153038,90.99494877283354,84.01812186787008,70.7903040051573,95.53252328742249,53.49838727728263,56.02644546772413,4.932742422396844
J-12,35.97213226149668,67.28956868196623,53.25142794579217,53.918231151467,43.43311389172349,99.30148782167484,38.62778398271741,95.55402017545173,85.72401920364541,75.34937134433048,97.82030921709743,55.78617320695758,60.58575694752231,8.418328121188358
J-13,39.32040313049634,71.12802144359912,57.08988070742509,52.31558568902112,47.27156665335638,103.1399405833077,38.05491927888051,99.39247293708462,82.27946786397456,79.18782410596337,101.2802538856652,59.2461178755254,64.4242097091552,13.97137580445294
J-14,43.00624727455203,74.70219178808664,60.6640510519126,53.24988539857411,50.84573699784389,106.7141109277952,37.07631530842177,102.9666432815721,79.73790386584331,82.76199445045089,104.8544242301527,62.8202882200129,67.99838005364272,17.54554614894046
J-15,39.14081564855849,75.07713642196303,61.038995685789,49.22995359382747,51.22068163172029,107.0890555616716,31.18981560359494,103.3415879154485,73.34550278299308,83.13693908432728,105.2293688640291,63.19523285388929,68.37332468751912,17.92049078281685
J-16,34.728392288508,76.48156417654474,62.44342344037071,44.81753023377698,52.6251352445881,108.4934833162533,29.04853363661278,104.7460156700302,68.9330794229426,84.54136683890898,106.6338576537671,64.59972164362728,69.77777830038693,19.32491853739858
J-17,34.50794388789162,81.20445753238991,67.16631679621587,42.96329119173093,57.34802860043325,113.2163766720985,27.31111114614868,109.4689090258754,65.31984772378276,89.26426019475414,111.3567510096123,69.32261499947242,74.50067165623207,24.04781189324373
J-18,45.53181175573157,92.60263252301431,78.56450929091143,48.76581355160135,68.74620359105762,124.614551662723,32.65322059547422,120.8670840164998,71.12234479999425,100.6624351853785,122.7549260002366,80.72078999009678,85.89884664685644,35.4459868838681
J-19,39.21167188623639,87.26882524975795,73.23070201765509,40.01631184686723,63.41239631780127,119.2807443894666,21.72992357498774,115.5332767432434,62.37286837891908,95.3286279121222,117.4211187269803,75.38698271684045,80.5650393736001,30.11217961061175
J-20,46.39393328939821,93.21181612652748,79.17369289442462,46.21222513881858,69.35537884035588,125.2237352662361,23.32695982361054,121.476267620013,65.80111336189768,101.2716187888917,123.3641096037498,81.32997359360999,86.50803025036964,36.05517048738129
J-3,40.05001787286391,45.5599956999229,27.12926928789657,61.39818622213834,28.51933608937546,77.57190264929656,64.69586590641597,73.82443500307342,89.80192106879262,53.61979836228715,79.81131251315071,37.77718788065702,45.67197914517429,23.83061324187854
J-4,36.72964506166426,44.83851542871462,30.50198064640192,54.6757602054146,28.21854498740617,76.85042237808827,61.97068693467118,73.10295473186513,86.481548257593,52.89831809107886,82.34286199399389,40.30873736150021,45.371188043205,20.51007170466255
J-5,36.89579201171298,45.83675536338727,31.79851997628507,54.84189090168329,28.97291870652215,77.84865418587091,58.47304894710247,74.1011946665378,86.6476789538617,53.89655667127071,84.88065270991655,42.84652807742285,46.12556176232098,17.60791937760786
J-6,36.96879678279684,50.81628367839192,36.77814294221788,54.91491192654718,32.79444331263876,82.82819875465557,57.09215299499306,79.08073110843245,86.72069997872559,58.87608634075616,89.50528025748217,46.64392782285571,49.94708636843758,16.22702342549844
J-7,38.15033303639051,52.60527536785473,38.56713463168069,56.09644818014084,33.9465794207935,84.61718231722837,52.91098082236967,80.86971467100526,87.90223623231923,60.66507803021898,90.88661431403048,48.85247830389063,51.09922247659232,12.04585125287505
J-8,39.15084180502537,56.36704572300279,42.32890498682873,57.09694069499569,37.34666950550574,88.37896079926644,52.7853552892058,84.63149315304332,88.90272874717408,64.42684838536704,91.88712308266534,49.85298707252549,54.49931256130456,12.54728064841049
J-9,37.38643079184032,57.37295226529294,43.33481152911887,55.33252968181063,35.5326879804915,89.38485921466658,47.88496460976594,85.63739156844346,87.13831773398904,65.43275492765719,96.54046887204382,53.91968829674973,52.68533103629032,7.019835040271341
K-10,30.6657497478142,62.80196838762419,48.76382765145012,48.61184863778455,40.52315675354733,94.81388752733281,44.79459797677443,91.06641988110968,80.41763668996296,70.86177104998843,88.44958454218983,46.41545990969613,57.67579980934615,3.723145496462818
K-11,31.16101442513539,65.38518564683145,51.34704491065737,49.10711331510574,41.5287308565887,97.39710478654005,40.30165019618713,93.64963714031694,80.91290136728415,73.44498830919568,93.49623198295919,51.46209597281933,58.68137391238753,6.812513245966415
