Hex,CSC12,CSC14,CSC6,CSC8,Noncertified1,Noncertified11,Noncertified16,Noncertified2,Noncertified5,Noncertified7,Noncertified9,PSC13,PSC15,PSC4,TCSC10
C-4,0.0,0.0,0.0,0.0,0.7777777777777778,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
C-5,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0
C-6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-7,0.0,0.0,0.0,0.0,0.375,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
C-8,0.0,0.0,0.0,0.0,0.2608695652173913,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0
C-9,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
D-10,0.0,0.0,0.0,0.0,0.06451612903225806,0.8387096774193549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0
D-11,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
D-12,0.0,0.0,0.0,0.0,0.03333333333333333,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
D-13,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0
D-14,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
D-2,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
D-3,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
D-4,0.0,0.0,0.0,0.0,0.9032258064516129,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0
D-5,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
